Institution,State,Institution Type,MSI,10yr Earnings Premium,Meets Threshold 1
Unity Environmental University,ME,4-year,Non-MSI,37852,FALSE
Washington County Community College,ME,2-Year,Non-MSI,34407,FALSE
Allegany College of Maryland,MD,2-Year,Non-MSI,38476,FALSE
Anne Arundel Community College,MD,2-Year,Non-MSI,46219,FALSE
Award Beauty School,MD,Less-than-2-year,Non-MSI,18172,FALSE
Baltimore Studio of Hair Design,MD,Less-than-2-year,Non-MSI,20080,FALSE
Baltimore City Community College,MD,2-Year,Non-MSI,36025,FALSE
University of Baltimore,MD,4-year,PBI,61335,TRUE
Bowie State University,MD,4-year,HBCU,54537,FALSE
Capitol Technology University,MD,4-year,Non-MSI,85035,TRUE
Cecil College,MD,2-Year,Non-MSI,43952,FALSE
College of Southern Maryland,MD,2-Year,Non-MSI,44435,FALSE
Chesapeake College,MD,2-Year,Non-MSI,36301,FALSE
Washington Adventist University,MD,4-year,Non-MSI,64249,TRUE
Coppin State University,MD,4-year,HBCU,46490,FALSE
Del-Mar-Va Beauty Academy,MD,Less-than-2-year,Non-MSI,25426,FALSE
North American Trade Schools,MD,Less-than-2-year,Non-MSI,39756,FALSE
Frederick Community College,MD,2-Year,Non-MSI,46449,FALSE
Frostburg State University,MD,4-year,Non-MSI,55493,FALSE
Garrett College,MD,2-Year,Non-MSI,35823,FALSE
Goucher College,MD,4-year,Non-MSI,53023,FALSE
Hagerstown Community College,MD,2-Year,Non-MSI,41615,FALSE
Harford Community College,MD,2-Year,Non-MSI,44608,FALSE
Hood College,MD,4-year,Non-MSI,57089,FALSE
Howard Community College,MD,2-Year,AANAPII,49020,FALSE
Aveda Institute-Maryland,MD,Less-than-2-year,Non-MSI,21250,FALSE
Johns Hopkins University,MD,4-year,Non-MSI,87555,TRUE
Lincoln College of Technology-Columbia,MD,2-Year,Non-MSI,38683,FALSE
Loyola University Maryland,MD,4-year,Non-MSI,82652,TRUE
University of Maryland Global Campus,MD,4-year,Non-MSI,65287,TRUE
University of Maryland Baltimore,MD,4-year,Non-MSI,88174,TRUE
University of Maryland-Baltimore County,MD,4-year,AANAPII,69960,TRUE
University of Maryland-College Park,MD,4-year,Non-MSI,82860,TRUE
Maryland Institute College of Art,MD,4-year,Non-MSI,45212,FALSE
University of Maryland Eastern Shore,MD,4-year,HBCU,47697,FALSE
Fortis Institute-Towson,MD,Less-than-2-year,Non-MSI,36368,FALSE
Montgomery Beauty School,MD,Less-than-2-year,Non-MSI,18726,FALSE
Montgomery College,MD,2-Year,AANAPII,50159,FALSE
Morgan State University,MD,4-year,HBCU,50698,FALSE
Mount St. Mary's University,MD,4-year,Non-MSI,64072,TRUE
Ner Israel Rabbinical College,MD,4-year,Non-MSI,66330,TRUE
Hair Academy,MD,Less-than-2-year,Non-MSI,20953,FALSE
Notre Dame of Maryland University,MD,4-year,Non-MSI,65344,TRUE
Prince George's Community College,MD,2-Year,PBI,47548,FALSE
Maryland Beauty Academy of Essex,MD,Less-than-2-year,Non-MSI,20445,FALSE
Salisbury University,MD,4-year,Non-MSI,61515,TRUE
St. Mary's College of Maryland,MD,4-year,Non-MSI,60110,TRUE
St. John's College,MD,4-year,Non-MSI,51584,FALSE
Towson University,MD,4-year,Non-MSI,64390,TRUE
Maryland University of Integrative Health,MD,4-year,Non-MSI,NA,NA
United States Naval Academy,MD,4-year,Non-MSI,NA,NA
Stevenson University,MD,4-year,Non-MSI,62079,TRUE
Washington College,MD,4-year,Non-MSI,65518,TRUE
McDaniel College,MD,4-year,Non-MSI,60663,TRUE
Wor-Wic Community College,MD,2-Year,Non-MSI,36748,FALSE
Hult International Business School,MA,4-year,Non-MSI,NA,NA
American International College,MA,4-year,Non-MSI,53124,FALSE
Amherst College,MA,4-year,Non-MSI,77644,TRUE
Anna Maria College,MA,4-year,Non-MSI,46651,FALSE
Assabet Valley Regional Technical School,MA,Less-than-2-year,Non-MSI,NA,NA
Assumption University,MA,4-year,Non-MSI,74895,TRUE
Babson College,MA,4-year,Non-MSI,123938,TRUE
Bancroft School of Massage Therapy,MA,Less-than-2-year,Non-MSI,NA,NA
Boston Baptist College,MA,4-year,Non-MSI,34159,FALSE
Bay Path University,MA,4-year,Non-MSI,55383,FALSE
Bay State College,MA,4-year,Non-MSI,45230,FALSE
Bentley University,MA,4-year,Non-MSI,120959,TRUE
Berklee College of Music,MA,4-year,Non-MSI,33647,FALSE
Berkshire Community College,MA,2-Year,Non-MSI,38832,FALSE
Empire Beauty School-Boston,MA,Less-than-2-year,Non-MSI,22377,FALSE
Boston Architectural College,MA,4-year,Non-MSI,62123,TRUE
Boston Graduate School of Psychoanalysis Inc,MA,4-year,Non-MSI,NA,NA
Boston College,MA,4-year,Non-MSI,103937,TRUE
Boston University,MA,4-year,Non-MSI,83238,TRUE
Brandeis University,MA,4-year,Non-MSI,77231,TRUE
Bridgewater State University,MA,4-year,Non-MSI,57466,FALSE
Bristol Community College,MA,2-Year,Non-MSI,38663,FALSE
Signature Healthcare Brockton Hospital School of Nursing,MA,2-Year,Non-MSI,88084,TRUE
Bunker Hill Community College,MA,2-Year,HSI,47618,FALSE
Cambridge College,MA,4-year,HSI,45998,FALSE
Cape Cod Community College,MA,2-Year,Non-MSI,43670,FALSE
Catherine Hinds Institute of Esthetics,MA,Less-than-2-year,Non-MSI,NA,NA
Laboure College of Healthcare,MA,4-year,Non-MSI,62200,TRUE
Clark University,MA,4-year,Non-MSI,62381,TRUE
Conway School of Landscape Design,MA,4-year,Non-MSI,NA,NA
Curry College,MA,4-year,Non-MSI,54400,FALSE
Lincoln Technical Institute-Somerville,MA,Less-than-2-year,Non-MSI,31914,FALSE
Dean College,MA,4-year,Non-MSI,38109,FALSE
Diman Regional Technical Institute,MA,Less-than-2-year,Non-MSI,NA,NA
National Aviation Academy of New England,MA,2-Year,Non-MSI,59009,FALSE
Eastern Nazarene College,MA,4-year,Non-MSI,54727,FALSE
Emerson College,MA,4-year,Non-MSI,62832,TRUE
Emmanuel College,MA,4-year,Non-MSI,68245,TRUE
Endicott College,MA,4-year,Non-MSI,58336,FALSE
Rob Roy Academy-Fall River,MA,Less-than-2-year,Non-MSI,32113,FALSE
Fisher College,MA,4-year,HSI,49669,FALSE
Fitchburg State University,MA,4-year,Non-MSI,53874,FALSE
Framingham State University,MA,4-year,Non-MSI,52349,FALSE
Benjamin Franklin Cummings Institute of Technology,MA,4-year,HSI,57556,FALSE
Gordon College,MA,4-year,Non-MSI,52119,FALSE
Gordon-Conwell Theological Seminary,MA,4-year,Non-MSI,NA,NA
Greenfield Community College,MA,2-Year,Non-MSI,37132,FALSE
Hampshire College,MA,4-year,Non-MSI,46938,FALSE
Harvard University,MA,4-year,Non-MSI,101817,TRUE
Hebrew College,MA,4-year,Non-MSI,NA,NA
Hellenic College-Holy Cross Greek Orthodox School of Theology,MA,4-year,Non-MSI,51724,FALSE
College of the Holy Cross,MA,4-year,Non-MSI,90543,TRUE
Holyoke Community College,MA,2-Year,Non-MSI,37277,FALSE
Lasell University,MA,4-year,Non-MSI,49705,FALSE
Lawrence Memorial Hospital School of Nursing,MA,2-Year,Non-MSI,101466,TRUE
Lesley University,MA,4-year,Non-MSI,51173,FALSE
Longy School of Music of Bard College,MA,4-year,Non-MSI,46543,FALSE
Lowell Academy Hairstyling Institute,MA,Less-than-2-year,Non-MSI,NA,NA
University of Massachusetts-Lowell,MA,4-year,AANAPII,64874,TRUE
University of Massachusetts-Amherst,MA,4-year,Non-MSI,71631,TRUE
University of Massachusetts-Boston,MA,4-year,AANAPII,65865,TRUE
Massachusetts Bay Community College,MA,2-Year,Non-MSI,52654,FALSE
MCPHS University,MA,4-year,Non-MSI,125557,TRUE
Massachusetts College of Art and Design,MA,4-year,Non-MSI,43582,FALSE
Massachusetts Institute of Technology,MA,4-year,Non-MSI,143372,TRUE
Massachusetts Maritime Academy,MA,4-year,Non-MSI,82392,TRUE
University of Massachusetts Chan Medical School,MA,4-year,Non-MSI,NA,NA
William James College,MA,4-year,Non-MSI,NA,NA
Massachusetts School of Barbering,MA,Less-than-2-year,Non-MSI,NA,NA
Massasoit Community College,MA,2-Year,Non-MSI,46111,FALSE
Merrimack College,MA,4-year,Non-MSI,75584,TRUE
MGH Institute of Health Professions,MA,4-year,Non-MSI,87130,TRUE
Middlesex Community College,MA,2-Year,AANAPII,50651,FALSE
Montserrat College of Art,MA,4-year,Non-MSI,33022,FALSE
Mount Holyoke College,MA,4-year,Non-MSI,58418,FALSE
Mount Wachusett Community College,MA,2-Year,Non-MSI,41118,FALSE
Rob Roy Academy-New Bedford,MA,Less-than-2-year,Non-MSI,NA,NA
The New England Conservatory of Music,MA,4-year,Non-MSI,34483,FALSE
New England College of Optometry,MA,4-year,Non-MSI,NA,NA
New England Law-Boston,MA,4-year,Non-MSI,NA,NA
Nichols College,MA,4-year,Non-MSI,58063,FALSE
Massachusetts College of Liberal Arts,MA,4-year,Non-MSI,48102,FALSE
North Bennet Street School,MA,2-Year,Non-MSI,43993,FALSE
North Shore Community College,MA,2-Year,HSI,45391,FALSE
Northeastern University,MA,4-year,Non-MSI,92538,TRUE
Northern Essex Community College,MA,2-Year,HSI,42862,FALSE
College of Our Lady of the Elms,MA,4-year,Non-MSI,51540,FALSE
Pope St John XXIII National Seminary,MA,4-year,Non-MSI,NA,NA
Quincy College,MA,4-year,Non-MSI,52506,FALSE
Quinsigamond Community College,MA,2-Year,Non-MSI,45949,FALSE
Regis College,MA,4-year,Non-MSI,52873,FALSE
Roxbury Community College,MA,2-Year,PBI,38773,FALSE
Saint John's Seminary,MA,4-year,Non-MSI,NA,NA
Salem State University,MA,4-year,Non-MSI,56662,FALSE
Simmons University,MA,4-year,Non-MSI,63494,TRUE
Bard College at Simon's Rock,MA,4-year,Non-MSI,46543,FALSE
Smith College,MA,4-year,Non-MSI,64027,TRUE
Southeastern Technical Institute,MA,Less-than-2-year,Non-MSI,NA,NA
Springfield College,MA,4-year,Non-MSI,48036,FALSE
Springfield Technical Community College,MA,2-Year,HSI,36966,FALSE
University of Massachusetts-Dartmouth,MA,4-year,Non-MSI,68804,TRUE
Stonehill College,MA,4-year,Non-MSI,77745,TRUE
Suffolk University,MA,4-year,Non-MSI,67506,TRUE
Rob Roy Academy-Taunton,MA,Less-than-2-year,Non-MSI,NA,NA
Tufts University,MA,4-year,Non-MSI,83214,TRUE
Wellesley College,MA,4-year,Non-MSI,84803,TRUE
Wentworth Institute of Technology,MA,4-year,Non-MSI,82721,TRUE
Western New England University,MA,4-year,Non-MSI,73157,TRUE
Westfield State University,MA,4-year,Non-MSI,57346,FALSE
Wheaton College (Massachusetts),MA,4-year,Non-MSI,67725,TRUE
Williams College,MA,4-year,Non-MSI,88665,TRUE
Worcester Polytechnic Institute,MA,4-year,Non-MSI,103470,TRUE
Worcester State University,MA,4-year,Non-MSI,60624,TRUE
Adrian College,MI,4-year,Non-MSI,55504,TRUE
Albion College,MI,4-year,Non-MSI,58799,TRUE
Hillsdale Beauty College,MI,Less-than-2-year,Non-MSI,17793,FALSE
Northwestern Technological Institute,MI,Less-than-2-year,Non-MSI,41237,FALSE
Alma College,MI,4-year,Non-MSI,54742,TRUE
Alpena Community College,MI,4-year,Non-MSI,36442,FALSE
Andrews University,MI,4-year,AANAPII,53187,TRUE
Aquinas College,MI,4-year,Non-MSI,49584,FALSE
Baker College,MI,4-year,Non-MSI,35833,FALSE
Bay de Noc Community College,MI,2-Year,Non-MSI,35090,FALSE
Bayshire Academy of Beauty Craft Inc,MI,Less-than-2-year,Non-MSI,24471,FALSE
Calvin University,MI,4-year,Non-MSI,58375,TRUE
Calvin Theological Seminary,MI,4-year,Non-MSI,NA,NA
Carnegie Institute,MI,2-Year,Non-MSI,38244,FALSE
Michigan School of Psychology,MI,4-year,Non-MSI,NA,NA
Central Michigan University,MI,4-year,Non-MSI,55874,TRUE
Mott Community College,MI,2-Year,Non-MSI,32538,FALSE
Empire Beauty School-Michigan,MI,Less-than-2-year,Non-MSI,22377,FALSE
Cleary University,MI,4-year,Non-MSI,54186,TRUE
Concordia University Ann Arbor,MI,4-year,Non-MSI,56075,TRUE
Cranbrook Academy of Art,MI,4-year,Non-MSI,NA,NA
College for Creative Studies,MI,4-year,Non-MSI,44860,FALSE
Davenport University,MI,4-year,Non-MSI,45099,FALSE
David Pressley School of Cosmetology,MI,Less-than-2-year,Non-MSI,22973,FALSE
Delta College,MI,2-Year,Non-MSI,37781,FALSE
Detroit Business Institute-Downriver,MI,Less-than-2-year,Non-MSI,26702,FALSE
MIAT College of Technology,MI,2-Year,Non-MSI,62575,TRUE
University of Detroit Mercy,MI,4-year,Non-MSI,71030,TRUE
Dorsey College,MI,2-Year,Non-MSI,29392,FALSE
Eastern Michigan University,MI,4-year,Non-MSI,51793,TRUE
Creative Hair School of Cosmetology,MI,Less-than-2-year,Non-MSI,NA,NA
Ferris State University,MI,4-year,Non-MSI,54735,TRUE
Glen Oaks Community College,MI,2-Year,Non-MSI,37540,FALSE
Kettering University,MI,4-year,Non-MSI,94823,TRUE
Gogebic Community College,MI,2-Year,Non-MSI,40950,FALSE
Grace Christian University,MI,4-year,Non-MSI,41663,FALSE
Cornerstone University,MI,4-year,Non-MSI,47314,FALSE
Grand Rapids Community College,MI,2-Year,Non-MSI,38377,FALSE
Grand Valley State University,MI,4-year,Non-MSI,56118,TRUE
Great Lakes Christian College,MI,4-year,Non-MSI,31053,FALSE
Henry Ford College,MI,4-year,Non-MSI,34795,FALSE
Hillsdale College,MI,4-year,Non-MSI,NA,NA
Hope College,MI,4-year,Non-MSI,58427,TRUE
Jackson College,MI,4-year,Non-MSI,36898,FALSE
Kalamazoo College,MI,4-year,Non-MSI,65590,TRUE
Kalamazoo Valley Community College,MI,2-Year,Non-MSI,38618,FALSE
Kellogg Community College,MI,2-Year,Non-MSI,38329,FALSE
Kirtland Community College,MI,2-Year,Non-MSI,35831,FALSE
Michigan College of Beauty-Monroe,MI,Less-than-2-year,Non-MSI,22766,FALSE
Lake Michigan College,MI,2-Year,Non-MSI,34466,FALSE
Lake Superior State University,MI,4-year,Non-MSI,49045,FALSE
Lansing Community College,MI,2-Year,Non-MSI,39206,FALSE
Lawrence Technological University,MI,4-year,Non-MSI,69151,TRUE
M J Murphy Beauty College of Mount Pleasant,MI,Less-than-2-year,Non-MSI,20720,FALSE
Macomb Community College,MI,2-Year,Non-MSI,41596,FALSE
Madonna University,MI,4-year,Non-MSI,59058,TRUE
Rochester University,MI,4-year,Non-MSI,48707,FALSE
University of Michigan-Ann Arbor,MI,4-year,Non-MSI,83648,TRUE
The Michigan Barber School,MI,2-Year,Non-MSI,25106,FALSE
Michigan State University,MI,4-year,Non-MSI,67253,TRUE
Michigan Technological University,MI,4-year,Non-MSI,78198,TRUE
University of Michigan-Dearborn,MI,4-year,Non-MSI,59649,TRUE
University of Michigan-Flint,MI,4-year,Non-MSI,53230,TRUE
Mid Michigan College,MI,2-Year,Non-MSI,37319,FALSE
Monroe County Community College,MI,2-Year,Non-MSI,41646,FALSE
Montcalm Community College,MI,2-Year,Non-MSI,35499,FALSE
Muskegon Community College,MI,2-Year,Non-MSI,36549,FALSE
North Central Michigan College,MI,2-Year,Non-MSI,36594,FALSE
Northern Michigan University,MI,4-year,Non-MSI,47107,FALSE
Northwestern Michigan College,MI,4-year,Non-MSI,38167,FALSE
Northwood University,MI,4-year,Non-MSI,63075,TRUE
Oakland Community College,MI,2-Year,Non-MSI,37395,FALSE
Oakland University,MI,4-year,Non-MSI,58612,TRUE
The University of Olivet,MI,4-year,Non-MSI,47907,FALSE
Port Huron Cosmetology College,MI,Less-than-2-year,Non-MSI,22980,FALSE
Kuyper College,MI,4-year,Non-MSI,41066,FALSE
Ross Medical Education Center-Lansing,MI,Less-than-2-year,Non-MSI,30072,FALSE
Ross Medical Education Center-Warren,MI,Less-than-2-year,Non-MSI,30481,FALSE
Ross Medical Education Center-Flint,MI,Less-than-2-year,Non-MSI,30060,FALSE
Sacred Heart Major Seminary,MI,4-year,Non-MSI,49295,FALSE
Saginaw Valley State University,MI,4-year,Non-MSI,51955,TRUE
Schoolcraft Community College District,MI,4-year,Non-MSI,42722,FALSE
Siena Heights University,MI,4-year,Non-MSI,57529,TRUE
St Clair County Community College,MI,2-Year,Non-MSI,40177,FALSE
Southwestern Michigan College,MI,2-Year,Non-MSI,37303,FALSE
Spring Arbor University,MI,4-year,Non-MSI,51732,TRUE
Michigan Career and Technical Institute,MI,Less-than-2-year,Non-MSI,29376,FALSE
Finlandia University,MI,4-year,Non-MSI,39864,FALSE
Thomas M Cooley Law School,MI,4-year,Non-MSI,63450,TRUE
Twin City Beauty College,MI,Less-than-2-year,Non-MSI,23043,FALSE
Walsh College,MI,4-year,Non-MSI,72081,TRUE
Washtenaw Community College,MI,2-Year,Non-MSI,39449,FALSE
Wayne County Community College District,MI,2-Year,PBI,29079,FALSE
Wayne State University,MI,4-year,AANAPII,53493,TRUE
West Shore Community College,MI,2-Year,Non-MSI,36115,FALSE
Paul Mitchell the School-Grand Rapids,MI,Less-than-2-year,Non-MSI,NA,NA
Western Michigan University,MI,4-year,Non-MSI,53562,TRUE
Western Theological Seminary,MI,4-year,Non-MSI,NA,NA
Academy College,MN,4-year,Non-MSI,48300,FALSE
Alexandria Technical & Community College,MN,2-Year,Non-MSI,49393,FALSE
Anoka Technical College,MN,2-Year,Non-MSI,47746,FALSE
Anoka-Ramsey Community College,MN,2-Year,Non-MSI,48342,FALSE
Augsburg University,MN,4-year,AANAPII,58829,TRUE
Riverland Community College,MN,2-Year,Non-MSI,45247,FALSE
Northwest Technical College,MN,2-Year,Non-MSI,42930,FALSE
Bemidji State University,MN,4-year,Non-MSI,53755,FALSE
Bethany Lutheran College,MN,4-year,Non-MSI,46110,FALSE
Bethel University,MN,4-year,Non-MSI,63764,TRUE
Central Lakes College-Brainerd,MN,2-Year,Non-MSI,42162,FALSE
Carleton College,MN,4-year,Non-MSI,75525,TRUE
Concordia College at Moorhead,MN,4-year,Non-MSI,59317,TRUE
Concordia University-Saint Paul,MN,4-year,AANAPII,59871,TRUE
Dakota County Technical College,MN,2-Year,Non-MSI,51938,FALSE
Martin Luther College,MN,4-year,Non-MSI,47491,FALSE
Lake Superior College,MN,2-Year,Non-MSI,46449,FALSE
Minnesota State Community and Technical College,MN,2-Year,Non-MSI,45591,FALSE
Minnesota West Community and Technical College,MN,2-Year,Non-MSI,45285,FALSE
Gustavus Adolphus College,MN,4-year,Non-MSI,65607,TRUE
Hamline University,MN,4-year,Non-MSI,61106,TRUE
Hazelden Betty Ford Graduate School,MN,4-year,Non-MSI,NA,NA
Hennepin Technical College,MN,2-Year,Non-MSI,49460,FALSE
Minnesota North College,MN,2-Year,Non-MSI,45570,FALSE
Aveda Arts & Sciences Institute Minneapolis,MN,Less-than-2-year,Non-MSI,34659,FALSE
Inver Hills Community College,MN,2-Year,Non-MSI,49898,FALSE
Luther Seminary,MN,4-year,Non-MSI,NA,NA
Macalester College,MN,4-year,Non-MSI,63878,TRUE
South Central College,MN,2-Year,Non-MSI,45068,FALSE
Minnesota State University-Mankato,MN,4-year,Non-MSI,56922,TRUE
Mayo Clinic College of Medicine and Science,MN,4-year,Non-MSI,79652,TRUE
Metropolitan State University,MN,4-year,AANAPII,64705,TRUE
University of Minnesota-Twin Cities,MN,4-year,AANAPII,69020,TRUE
University of Minnesota-Crookston,MN,4-year,Non-MSI,58056,TRUE
Minneapolis College of Art and Design,MN,4-year,Non-MSI,40873,FALSE
Minneapolis Community and Technical College,MN,2-Year,Non-MSI,40086,FALSE
Herzing University-Minneapolis,MN,4-year,AANAPII,36909,FALSE
Nova Academy of Cosmetology Woodbury,MN,Less-than-2-year,Non-MSI,31961,FALSE
University of Minnesota-Duluth,MN,4-year,Non-MSI,62616,TRUE
University of Minnesota-Morris,MN,4-year,NANTI,50919,FALSE
Model College of Hair Design,MN,Less-than-2-year,Non-MSI,25410,FALSE
Minnesota State University Moorhead,MN,4-year,Non-MSI,50527,FALSE
North Hennepin Community College,MN,2-Year,Non-MSI,51142,FALSE
Normandale Community College,MN,2-Year,Non-MSI,50207,FALSE
North Central University,MN,4-year,Non-MSI,45064,FALSE
Northland Community and Technical College,MN,2-Year,Non-MSI,44425,FALSE
University of Northwestern-St Paul,MN,4-year,Non-MSI,50755,FALSE
Northwestern Health Sciences University,MN,4-year,Non-MSI,48666,FALSE
Oak Hills Christian College,MN,4-year,Non-MSI,35983,FALSE
Pine Technical & Community College,MN,2-Year,Non-MSI,41232,FALSE
Rochester Community and Technical College,MN,2-Year,Non-MSI,45287,FALSE
College of Saint Benedict,MN,4-year,Non-MSI,63260,TRUE
St Cloud Technical and Community College,MN,2-Year,Non-MSI,46874,FALSE
Saint Cloud State University,MN,4-year,Non-MSI,55813,TRUE
Saint Johns University,MN,4-year,Non-MSI,76786,TRUE
Saint Mary's University of Minnesota,MN,4-year,Non-MSI,58170,TRUE
St Olaf College,MN,4-year,Non-MSI,65543,TRUE
Crown College,MN,4-year,Non-MSI,48057,FALSE
The College of Saint Scholastica,MN,4-year,Non-MSI,65934,TRUE
University of St Thomas,MN,4-year,Non-MSI,73739,TRUE
Empire Beauty School-Bloomington,MN,Less-than-2-year,Non-MSI,23589,FALSE
St Catherine University,MN,4-year,AANAPII,59282,TRUE
Rasmussen University-Minnesota,MN,4-year,Non-MSI,39080,FALSE
Saint Paul College,MN,2-Year,AANAPII,38399,FALSE
Southwest Minnesota State University,MN,4-year,Non-MSI,51342,FALSE
Summit Academy Opportunities Industrialization Center,MN,Less-than-2-year,Non-MSI,22606,FALSE
United Theological Seminary of the Twin Cities,MN,4-year,Non-MSI,NA,NA
Dunwoody College of Technology,MN,4-year,Non-MSI,61511,TRUE
Ridgewater College,MN,2-Year,Non-MSI,43827,FALSE
Minnesota State College Southeast,MN,2-Year,Non-MSI,43613,FALSE
Winona State University,MN,4-year,Non-MSI,58532,TRUE
Mitchell Hamline School of Law,MN,4-year,Non-MSI,NA,NA
Century College,MN,2-Year,AANAPII,46424,FALSE
Alcorn State University,MS,4-year,HBCU,36421,FALSE
Belhaven University,MS,4-year,PBI,46440,TRUE
Blue Mountain Christian University,MS,4-year,Non-MSI,40421,TRUE
Chris Beauty College,MS,Less-than-2-year,Non-MSI,18468,FALSE
Coahoma Community College,MS,2-Year,HBCU,24289,FALSE
Copiah-Lincoln Community College,MS,2-Year,Non-MSI,31241,FALSE
Delta State University,MS,4-year,Non-MSI,41991,TRUE
East Central Community College,MS,2-Year,Non-MSI,32421,FALSE
East Mississippi Community College,MS,2-Year,PBI,33772,FALSE
Fosters Cosmetology College,MS,Less-than-2-year,Non-MSI,NA,NA
Academy of Hair Design-Grenada,MS,Less-than-2-year,Non-MSI,22284,FALSE
Hinds Community College,MS,2-Year,PBI,30774,FALSE
Holmes Community College,MS,2-Year,PBI,32922,FALSE
Itawamba Community College,MS,2-Year,Non-MSI,32912,FALSE
Jackson State University,MS,4-year,HBCU,39060,FALSE
Jones County Junior College,MS,2-Year,Non-MSI,33377,FALSE
Meridian Community College,MS,2-Year,PBI,31002,FALSE
Millsaps College,MS,4-year,Non-MSI,53848,TRUE
Mississippi Delta Community College,MS,2-Year,PBI,28421,FALSE
University of Mississippi,MS,4-year,Non-MSI,50994,TRUE
Mississippi University for Women,MS,4-year,Non-MSI,46128,TRUE
Mississippi Valley State University,MS,4-year,HBCU,31919,FALSE
Mississippi College,MS,4-year,Non-MSI,47485,TRUE
Hatfield's Mississippi College of Beauty Culture,MS,Less-than-2-year,Non-MSI,13849,FALSE
Mississippi Gulf Coast Community College,MS,2-Year,Non-MSI,33017,FALSE
Mississippi State University,MS,4-year,Non-MSI,51513,TRUE
Northeast Mississippi Community College,MS,2-Year,Non-MSI,34081,FALSE
Northwest Mississippi Community College,MS,2-Year,Non-MSI,36396,FALSE
Pearl River Community College,MS,2-Year,Non-MSI,33019,FALSE
Rust College,MS,4-year,HBCU,32275,FALSE
Southeastern Baptist College,MS,4-year,Non-MSI,26946,FALSE
Southwest Mississippi Community College,MS,2-Year,PBI,33227,FALSE
University of Southern Mississippi,MS,4-year,Non-MSI,44140,TRUE
Tougaloo College,MS,4-year,HBCU,34724,FALSE
Vaughn Beauty College,MS,Less-than-2-year,Non-MSI,NA,NA
Wesley Biblical Seminary,MS,4-year,Non-MSI,NA,NA
William Carey University,MS,4-year,Non-MSI,43087,TRUE
Aquinas Institute of Theology,MO,4-year,Non-MSI,NA,NA
Avila University,MO,4-year,Non-MSI,52773,TRUE
Mission University,MO,4-year,Non-MSI,38641,FALSE
House of Heavilin Beauty College-Blue Springs,MO,Less-than-2-year,Non-MSI,24840,FALSE
Cox College,MO,4-year,Non-MSI,56867,TRUE
Calvary University,MO,4-year,Non-MSI,45421,FALSE
Cape Girardeau Career and Technology Center,MO,2-Year,Non-MSI,44369,FALSE
Central Christian College of the Bible,MO,4-year,Non-MSI,34675,FALSE
Central Methodist University-College of Liberal Arts and Sciences,MO,4-year,Non-MSI,48991,TRUE
University of Central Missouri,MO,4-year,Non-MSI,49560,TRUE
Grand River Technical School,MO,Less-than-2-year,Non-MSI,40665,FALSE
Cleveland University-Kansas City,KS,4-year,Non-MSI,52304,TRUE
Columbia College,MO,4-year,Non-MSI,45378,FALSE
Conception Seminary College,MO,4-year,Non-MSI,50430,TRUE
Concordia Seminary,MO,4-year,Non-MSI,NA,NA
Cottey College,MO,4-year,Non-MSI,35422,FALSE
Covenant Theological Seminary,MO,4-year,Non-MSI,NA,NA
Crowder College,MO,2-Year,Non-MSI,35987,FALSE
Culver-Stockton College,MO,4-year,Non-MSI,46092,FALSE
Drury University,MO,4-year,Non-MSI,40694,FALSE
East Central College,MO,2-Year,Non-MSI,36916,FALSE
Eden Theological Seminary,MO,4-year,Non-MSI,NA,NA
Pinnacle Career Institute,MO,2-Year,Non-MSI,34213,FALSE
Evangel University,MO,4-year,Non-MSI,46573,FALSE
Fontbonne University,MO,4-year,Non-MSI,48825,TRUE
Four Rivers Career Center,MO,Less-than-2-year,Non-MSI,48199,TRUE
Ozarks Technical Community College,MO,4-year,Non-MSI,36455,FALSE
Hannibal-LaGrange University,MO,4-year,Non-MSI,42643,FALSE
Harris-Stowe State University,MO,4-year,HBCU,31088,FALSE
House of Heavilin Beauty College-Kansas City,MO,Less-than-2-year,Non-MSI,17269,FALSE
Summit Salon Academy Kansas City,MO,Less-than-2-year,Non-MSI,24811,FALSE
Jefferson College,MO,2-Year,Non-MSI,40782,FALSE
Paul Mitchell the School-Missouri Columbia,MO,Less-than-2-year,Non-MSI,27715,FALSE
Barnes-Jewish College Goldfarb School of Nursing,MO,4-year,Non-MSI,84393,TRUE
Kansas City Art Institute,MO,4-year,Non-MSI,37032,FALSE
Kenrick Glennon Seminary,MO,4-year,Non-MSI,NA,NA
A T Still University of Health Sciences,MO,4-year,Non-MSI,NA,NA
Lex La-Ray Technical Center,MO,Less-than-2-year,Non-MSI,52142,TRUE
Lincoln University,MO,4-year,HBCU,39463,FALSE
Lindenwood University,MO,4-year,Non-MSI,53278,TRUE
State Technical College of Missouri,MO,2-Year,Non-MSI,55901,TRUE
Logan University,MO,4-year,Non-MSI,55838,TRUE
Metropolitan Community College-Kansas City,MO,2-Year,Non-MSI,40796,FALSE
Maryville University of Saint Louis,MO,4-year,Non-MSI,62105,TRUE
Missouri College of Cosmetology and Esthetics,MO,Less-than-2-year,Non-MSI,26738,FALSE
Midwest Institute,MO,2-Year,Non-MSI,30414,FALSE
Midwestern Baptist Theological Seminary,MO,4-year,Non-MSI,50535,TRUE
Mineral Area College,MO,2-Year,Non-MSI,35352,FALSE
Missouri Baptist University,MO,4-year,Non-MSI,46660,FALSE
Missouri Southern State University,MO,4-year,Non-MSI,42620,FALSE
