INSTNM,CITY,STATE,ZIP,ACCREDAGENCY,Modified_PEP_ROI,Original_PEP_ROI,PCTPELL,MSI_TYPE
Relay Graduate School of Education - Houston,Houston,TX,77036,Middle States Commission on Higher Education,,,,Non-MSI
Relay Graduate School of Education - San Antonio,San Antonio,TX,78212,Middle States Commission on Higher Education,,,,Non-MSI
Relay Graduate School of Education - Dallas-Fort Worth,Dallas,TX,75232,Middle States Commission on Higher Education,,,,Non-MSI
Bridgerland Technical College,Logan,UT,84321,Council on Occupational Education,-0.022478736330498177,-44.48648648648649,0.0966,Non-MSI
Brigham Young University,Provo,UT,84602,Northwest Commission on Colleges and Universities,0.6538518245484704,1.5293985004791701,0.3239,Non-MSI
Cameo College of Essential Beauty,Murray,UT,84107,National Accrediting Commission of Career Arts and Sciences,,,0.3394,Non-MSI
Collectiv Academy,Sandy,UT,84094,National Accrediting Commission of Career Arts and Sciences,-0.5649623588456713,-1.7700294264616068,0.4677,Non-MSI
Davis Technical College,Kaysville,UT,84037-2699,Council on Occupational Education,-0.16319444444444445,-6.127659574468085,0.0722,Non-MSI
Utah Tech University,Saint George,UT,84770-3876,Northwest Commission on Colleges and Universities,0.0892465980750083,11.204908888062477,0.2508,Non-MSI
Evans Hairstyling College-Cedar City,Cedar City,UT,84720,National Accrediting Commission of Career Arts and Sciences,-0.6751761883340831,-1.4810948864582754,0.1954,Non-MSI
Evans Hairstyling College-St George,Saint George,UT,84770,National Accrediting Commission of Career Arts and Sciences,-1.1885310809027319,-0.8413747154516685,0.0973,Non-MSI
Paul Mitchell the School-Salt Lake City,Holladay,UT,84117,National Accrediting Commission of Career Arts and Sciences,-0.6341901408450704,-1.5768141691188717,0.4596,Non-MSI
Eagle Gate College-Murray,Murray,UT,84123-6965,Accrediting Bureau of Health Education Schools,-0.038120689655172416,-26.232473993668023,0.5018,Non-MSI
Ensign College,Salt Lake City,UT,84101-3500,Northwest Commission on Colleges and Universities,0.2053939393939394,4.868692829743287,0.1392,Non-MSI
Ogden-Weber Technical College,Ogden,UT,84404-4089,Council on Occupational Education,-2.5388349514563107,-0.3938814531548757,0.1104,Non-MSI
Snow College,Ephraim,UT,84627,Northwest Commission on Colleges and Universities,0.03397554222427319,29.43293718166384,0.2337,Non-MSI
Southern Utah University,Cedar City,UT,84720,Northwest Commission on Colleges and Universities,0.2034778875053671,4.914538932264191,0.2562,Non-MSI
Uintah Basin Technical College,Roosevelt,UT,84066,Council on Occupational Education,,,0.0124,Non-MSI
Utah State University,Logan,UT,84322-1400,Northwest Commission on Colleges and Universities,0.26897781299524565,3.7177787597584326,0.2724,Non-MSI
Utah Valley University,Orem,UT,84058-5999,Northwest Commission on Colleges and Universities,0.40722450338475197,2.4556479084343916,0.2563,Non-MSI
Salt Lake Community College,Salt Lake City,UT,84123,Northwest Commission on Colleges and Universities,0.31109799291617474,3.2144212523719164,0.1773,Non-MSI
University of Utah,Salt Lake City,UT,84112-9008,Northwest Commission on Colleges and Universities,0.7290914880067926,1.3715699832593349,0.2147,Non-MSI
Weber State University,Ogden,UT,84408-1001,Northwest Commission on Colleges and Universities,0.32998858664637626,3.030407839746361,0.1761,Non-MSI
Westminster University,Salt Lake City,UT,84105,Northwest Commission on Colleges and Universities,0.20862153683335224,4.793368964580124,0.2573,Non-MSI
Provo College,Provo,UT,84601,Accrediting Bureau of Health Education Schools,-0.07026606930602541,-14.231620039037086,0.5058,Non-MSI
Myotherapy Massage College,Millcreek City,UT,84107,Accrediting Commission of Career Schools and Colleges,-0.11546704407602103,-8.660479775871126,0.2556,Non-MSI
Paul Mitchell the School-St. George,Saint George,UT,84770-0000,National Accrediting Commission of Career Arts and Sciences,-0.5848486816469671,-1.7098439842318582,0.3172,Non-MSI
Western Governors University,Salt Lake City,UT,84107,Northwest Commission on Colleges and Universities,0.2853969754253308,3.5038913727438317,0.3356,Non-MSI
Healing Mountain Massage School,Salt Lake City,UT,84102-4002,Accrediting Bureau of Health Education Schools,-0.3865851040995922,-2.5867525401143747,0.5676,Non-MSI
Nightingale College,Salt Lake City,UT,84111,Northwest Commission on Colleges and Universities,-0.31498775795732775,-3.1747265559935594,0.459,Non-MSI
Skinworks School of Advanced Skincare,Salt Lake City,UT,84115,Council on Occupational Education,-0.05162825651302605,-19.369238233867055,0.4424,Non-MSI
Neumont College of Computer Science,Salt Lake City,UT,84111-1917,Northwest Commission on Colleges and Universities,0.36715021233417267,2.7236808434413224,0.6654,Non-MSI
Joyce University of Nursing and Health Sciences,Draper,UT,84020-6545,Northwest Commission on Colleges and Universities,-0.02216323606044815,-45.119764878765615,0.4275,Non-MSI
Eagle Gate College-Layton,Layton,UT,84041,Accrediting Bureau of Health Education Schools,-0.03500411626876069,-28.56806874717322,0.5565,Non-MSI
Paul Mitchell the School-Logan,Logan,UT,84341,National Accrediting Commission of Career Arts and Sciences,-1.0505716285580962,-0.9518627505413358,0.4421,Non-MSI
Careers Unlimited,Orem,UT,84058,Accrediting Commission of Career Schools and Colleges,,,0.5251,Non-MSI
Mountainland Technical College,Lehi,UT,84043,Council on Occupational Education,,,0.0474,Non-MSI
Southwest Technical College,Cedar City,UT,84720,Council on Occupational Education,,,0.1396,Non-MSI
Aveda Institute-Provo,Provo,UT,84601,National Accrediting Commission of Career Arts and Sciences,-0.7377324485950684,-1.355504969185498,0.4291,Non-MSI
Dixie Technical College,Saint George,UT,84770,Council on Occupational Education,,,0.1547,Non-MSI
Skin Science Institute,Sandy,UT,84094,National Accrediting Commission of Career Arts and Sciences,-0.4632458847736626,-2.158680806174005,0.1108,Non-MSI
